Year,Model,Color,Base MSRP,Total MSRP,Selling Price,Selling Price Incomplete,Markup,TMSRP plus DIO,Shipping Status,Pre-Sold,Hold Status,eta.currFromDate,eta.currToDate,VIN,Dealer,Dealer Website,Dealer State,infoDateTime,Options
2025,SE AWD,Ice Cap,44265,49102,49102.0,False,0.0,49102.0,Factory to port,False,DealerHold,2025-04-14,2025-05-19,JTMAB3FV0S110BL34,Jordan Toyota,https://www.jordantoyota.com,IN,2025-03-13 01:15:00,50 State Emissions | All-Weather Liner Package[installed_msrp] | Alloy Wheel Locks[installed_msrp] | Blackout Emblem Overlays[installed_msrp] | Body Side Moldings[installed_msrp] | Door Edge Guards[installed_msrp] | Door Sill Protectors[installed_msrp] | Fog Light Accent[installed_msrp] | Frameless Homelink® Mirror[installed_msrp] | Mudguards[installed_msrp] | Rear Bumper Applique[installed_msrp] | Weather & Moonroof Package
2025,SE AWD,Ice Cap,44265,48528,48528.0,False,0.0,48528.0,Factory to port,False,,2025-04-14,2025-05-02,JTMAB3FV0S111AN35,Claremont Toyota,https://www.claremonttoyota.com,CA,2025-03-13 01:14:33,50 State Emissions | All-Weather Liner Package[installed_msrp] | Blackout Emblem Overlays[installed_msrp] | Cross Bars[installed_msrp] | Door Edge Guards[installed_msrp] | Mudguards[installed_msrp] | Rear Bumper Applique[installed_msrp] | Weather & Moonroof Package
2025,SE AWD,Blueprint,44265,48389,47389.0,False,-1000.0,48389.0,Factory to port,False,,2025-04-07,2025-04-23,JTMAB3FV0S111AN49,DCH Toyota of Torrance,https://www.torrancetoyota.com,CA,2025-03-13 01:14:12,50 State Emissions | Blackout Emblem Overlays[installed_msrp] | Cross Bars[installed_msrp] | Fog Light Accent[installed_msrp] | Frameless Homelink® Mirror[installed_msrp] | Mudguards[installed_msrp] | Rear Bumper Applique[installed_msrp] | Weather & Moonroof Package
2025,SE AWD,Magnetic Gray Metallic,44265,48144,48144.0,False,0.0,48144.0,Factory to port,True,,2025-04-08,2025-04-24,JTMAB3FV0S111AW16,One Toyota of Oakland,https://www.onetoyota.com,CA,2025-03-13 01:13:52,50 State Emissions | All-Weather Liner Package[installed_msrp] | Blackout Emblem Overlays[installed_msrp] | Cross Bars[installed_msrp] | Weather & Moonroof Package
2025,SE AWD,Ice Cap,44265,47654,47654.0,True,0.0,47654.0,Factory to port,False,DealerHold,2025-04-18,2025-05-07,JTMAB3FV0S111BV24,Torrington Toyota,https://www.torringtontoyota.com,CT,2025-03-13 01:15:46,50 State Emissions | All-Weather Liner Package[installed_msrp] | Weather & Moonroof Package
2025,SE AWD,Magnetic Gray Metallic,44265,48868,52163.0,False,3295.0,50163.0,Factory to port,False,,2025-04-18,2025-05-08,JTMAB3FV0S111BV38,Millennium Toyota,https://www.millenniumtoyota.com,NY,2025-03-13 01:15:02,50 State Emissions | All-Weather Liner Package[installed_msrp] | Alloy Wheel Locks[installed_msrp] | Body Side Moldings[installed_msrp] | Cross Bars[installed_msrp] | Door Edge Guards[installed_msrp] | Frameless Homelink® Mirror[installed_msrp] | Millennium Care Package | Mudguards[installed_msrp] | Rear Bumper Applique[installed_msrp] | Weather & Moonroof Package
2025,SE AWD,Blueprint,44265,48567,48567.0,False,0.0,48567.0,Factory to port,False,,2025-04-24,2025-05-11,JTMAB3FV0S111BV55,Steet Toyota,https://www.steettoyota.com,NY,2025-03-13 01:15:46,50 State Emissions | All-Weather Liner Package[installed_msrp] | Blackout Emblem Overlays[installed_msrp] | Cross Bars[installed_msrp] | Door Sill Protectors[installed_msrp] | Mudguards[installed_msrp] | Rear Bumper Applique[installed_msrp] | Weather & Moonroof Package
2025,SE AWD,Ice Cap,44265,48908,48908.0,True,0.0,48908.0,Factory to port,False,,2025-04-21,2025-05-14,JTMAB3FV0S111EA33,First Team Toyota,https://www.firstteamtoyota.com,VA,2025-03-13 01:13:58,50 State Emissions | All-Weather Liner Package[installed_msrp] | Blackout Emblem Overlays[installed_msrp] | Body Side Moldings[installed_msrp] | Cross Bars[installed_msrp] | Door Edge Guards[installed_msrp] | Door Sill Protectors[installed_msrp] | Mudguards[installed_msrp] | Weather & Moonroof Package
2025,SE AWD,Blueprint,44265,48554,48554.0,False,0.0,48554.0,Factory to port,False,,2025-04-24,2025-05-15,JTMAB3FV0S111EA47,Casey Toyota,https://www.caseytoyota.com,VA,2025-03-13 01:13:58,50 State Emissions | All-Weather Liner Package[installed_msrp] | Alloy Wheel Locks[installed_msrp] | Blackout Emblem Overlays[installed_msrp] | Body Side Moldings[installed_msrp] | Door Edge Guards[installed_msrp] | Mudguards[installed_msrp] | Quick Charging Cable Package[installed_msrp] | Weather & Moonroof Package
2025,SE AWD,Ice Cap,44265,49171,49171.0,False,0.0,49171.0,Factory to port,False,,2025-04-22,2025-05-10,JTMAB3FV0S112AM96,Toyota Place,https://www.toyotaplace.com,CA,2025-03-13 01:14:33,"50 State Emissions | All-Weather Liner Package[installed_msrp] | Blackout Emblem Overlays[installed_msrp] | Body Side Moldings[installed_msrp] | Cross Bars[installed_msrp] | Door Sill Protectors[installed_msrp] | Paint Protection Film: Hood, Fenders, Mirror Backs & Door Cups[installed_msrp] | Quick Charging Cable Package[installed_msrp] | Rear Bumper Applique[installed_msrp] | Weather & Moonroof Package"
2025,SE AWD,Magnetic Gray Metallic,44265,48714,52793.0,False,4079.0,52793.0,Factory to port,False,,2025-04-21,2025-05-10,JTMAB3FV0S112AN01,Toyota of Huntington Beach,https://www.toyotaofhb.com,CA,2025-03-13 01:14:33,"50 State Emissions | All-Weather Liner Package[installed_msrp] | Alloy Wheel Locks[installed_msrp] | Blackout Emblem Overlays[installed_msrp] | Cilajet Aviation Protection Package  | Cross Bars[installed_msrp] | Door Edge Guards[installed_msrp] | First Aid Kit[installed_msrp] | Mudguards[installed_msrp] | Quick Charging Cable Package[installed_msrp] | Rear Bumper Applique[installed_msrp] | Weather & Moonroof Package | Wheel Locks | XPEL Nano Ceramic Window Tint | XPEL Paint Protection Partial Hood & Fender Fronts  | XPEL Paint Protection: Door, Cups & Edge Guards"
2025,SE AWD,Midnight Black Metallic,44265,47654,47654.0,False,0.0,47654.0,Factory to port,False,,2025-04-18,2025-05-01,JTMAB3FV0S112AW13,Toyota Marin,https://www.toyotamarin.com,CA,2025-03-13 01:13:52,50 State Emissions | All-Weather Liner Package[installed_msrp] | Weather & Moonroof Package
2025,SE AWD,Magnetic Gray Metallic,44265,48623,48623.0,False,0.0,48623.0,Factory to port,False,,2025-04-26,2025-05-19,JTMAB3FV0S112BS75,Sunrise Toyota,https://www.sunrisetoyota.com,NY,2025-03-13 01:15:02,50 State Emissions | All-Weather Liner Package[installed_msrp] | Alloy Wheel Locks[installed_msrp] | Blackout Emblem Overlays[installed_msrp] | Body Side Moldings[installed_msrp] | Door Edge Guards[installed_msrp] | Mudguards[installed_msrp] | Quick Charging Cable Package[installed_msrp] | Rear Bumper Applique[installed_msrp] | Weather & Moonroof Package
2025,SE AWD,Blueprint,44265,47744,47744.0,False,0.0,47744.0,Factory to port,False,,2025-04-27,2025-05-16,JTMAB3FV0S112BS92,Toyota of Manhattan,https://www.toyotaofmanhattan.com,NY,2025-03-13 01:14:40,50 State Emissions | All-Weather Liner Package[installed_msrp] | Alloy Wheel Locks[installed_msrp] | Weather & Moonroof Package
2025,SE AWD,Magnetic Gray Metallic,44265,47984,47984.0,False,0.0,47984.0,Factory to port,False,,2025-04-29,2025-05-13,JTMAB3FV0S112BY12,Lexington Toyota,https://www.lexingtontoyota.com,MA,2025-03-13 01:16:28,50 State Emissions | All-Weather Liner Package[installed_msrp] | Frameless Homelink® Mirror[installed_msrp] | Mudguards[installed_msrp] | Owner's Portfolio | Weather & Moonroof Package
2025,SE AWD,Ice Cap,44265,48902,48902.0,False,0.0,48902.0,Factory to port,False,,2025-04-28,2025-05-16,JTMAB3FV0S112DZ02,Pearson Toyota,https://www.pearsontoyotascion.com,VA,2025-03-13 01:13:58,50 State Emissions | All-Weather Liner Package[installed_msrp] | Blackout Emblem Overlays[installed_msrp] | Cross Bars[installed_msrp] | Door Edge Guards[installed_msrp] | Door Sill Protectors[installed_msrp] | Fog Light Accent[installed_msrp] | Mudguards[installed_msrp] | Rear Bumper Applique[installed_msrp] | Weather & Moonroof Package
2025,SE AWD,Midnight Black Metallic,43865,47429,49227.0,False,1798.0,47429.0,At dealer,False,,2025-02-22,2025-02-23,JTMAB3FV0SD239627,Continental Toyota,https://www.continentaltoyota.com,IL,2025-03-13 01:14:38,50 State Emissions | All-Weather Liner Package[installed_msrp] | Fog Light Accent[installed_msrp] | Weather & Moonroof Package
2025,SE AWD,Supersonic Red,43865,47974,47974.0,True,0.0,47974.0,At dealer,False,DealerHold,2025-02-24,2025-02-25,JTMAB3FV0SD243550,Nucar Toyota of Norwood,https://www.nucartoyotanorwood.com,MA,2025-03-13 01:16:07,50 State Emissions | All-Weather Liner Package[installed_msrp] | Alloy Wheel Locks[installed_msrp] | Mudguards[installed_msrp] | Premium Paint | Weather & Moonroof Package
